X,Object.ID,Is.Public.Domain,Department,AccessionYear,Object.Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Artist.Role,Artist.Prefix,Artist.Display.Name,Artist.Display.Bio,Artist.Suffix,Artist.Alpha.Sort,Artist.Nationality,Artist.Begin.Date,Artist.End.Date,Artist.Gender,Object.Date,Object.Begin.Date,Object.End.Date,Medium,Dimensions,Credit.Line,Geography.Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights.and.Reproduction
50374,634248,FALSE,Drawings and Prints,1963,Print,"Officer of Field Artillery, Germany, from the Military series (T79) issued by the American Tobacco Company",NA,NA,NA,NA,NA,Publisher,Issued by,American Tobacco Company,NA,NA,American Tobacco Company,NA,NA,NA,NA,1910,1910,1910,Commercial color lithograph,Sheet: 2 5/8 × 1 3/4 in. (6.7 × 4.4 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints|Ephemera,NA
54412,67220,TRUE,Asian Art,1896,Piece,NA,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18th–19th century,1700,1899,Silk,7 3/4 x 6 1/2 in. (19.68 x 16.51 cm),"Gift of Mr. and Mrs. H. O. Havemeyer, 1896",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Textiles-Woven,NA
16857,679510,TRUE,Drawings and Prints,1957,Print,"Villégiature, from Ces Bons Parisiens, published in Le Charivari, May 5, 1858",NA,NA,NA,NA,NA,Publisher|Artist|Printer,NA,Aaron Martinet|Honoré Daumier|Destouches,"French, 1762–1841|French, Marseilles 1808–1879 Valmondois|Paris",NA,"Martinet, Aaron|Daumier, Honoré|Destouches",French|French|French,1762      |1808      |1800,1841      |1879      |1900,||,"May 5, 1858",1858,1858,Lithograph on newsprint; third state of three (Delteil),"Sheet: 10 1/16 × 14 3/16 in. (25.5 × 36.1 cm)
Image: 8 in. × 10 3/16 in. (20.3 × 25.8 cm)","Bequest of Edwin De T. Bechtel, 1957",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
19649,388326,TRUE,Drawings and Prints,1967,Drawing,"Design for wall panels, mirror, and fire mantle",NA,NA,NA,NA,NA,Artist|Artist,NA,Jules-Edmond-Charles Lachaise|Eugène-Pierre Gourdet,"French, died 1897|French, Paris 1820–1889",NA,"Lachaise, Jules-Edmond-Charles|Gourdet, Eugène-Pierre",French|French,1897      |1820,1897      |1889,|,second half 19th century,1850,1897,"Graphite, pen and black ink, gouache, and watercolor",Overall: 10 5/8 x 15 5/16 in. (27 x 38.9 cm),"Dodge Fund, 1967",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Drawings,NA
4896,550144,TRUE,Egyptian Art,1922,"Funerary figurine, Saiah",Funerary figurine of Saiah,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 2051–1981 B.C.,-2051,-1981,Wax,H. 12 cm (4 3/4 in.); W. 3.5 cm (1 3/8 in.); D. 2 cm (13/16 in.),"Rogers Fund and Edward S. Harkness Gift, 1922",From,NA,NA,NA,Egypt,"Upper Egypt, Thebes",NA,NA,NA,NA,NA,NA,NA
16430,396279,TRUE,Drawings and Prints,1932,Print,"Fodina ferrea Danmorensis – A Danish Iron Mine (Aubry de La Mottraye's ""Travels throughout Europe, Asia and into Part of Africa...,""  London, 1724, vol. II, pl. 35)",NA,NA,NA,NA,NA,Artist|Author,Related author,William Hogarth|Aubry de La Mottraye,"British, London 1697–1764 London|French, ca. 1674–1743",NA,"Hogarth, William|La Mottraye, Aubry de",British|French,1697      |1674,1764      |1743,|,1723–24,1723,1724,Etching and engraving; first state of two,sheet: 10 3/16 x 13 11/16 in. (25.8 x 34.8 cm),"Harris Brisbane Dick Fund, 1932",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Prints,NA
72375,571171,TRUE,Egyptian Art,1909,Ax,Ax,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1295–1070 B.C.,-1295,-1070,Flint,NA,"Rogers Fund, 1909",From,NA,NA,NA,Egypt,Memphite Region,NA,NA,NA,NA,NA,NA,NA
9078,80028,FALSE,Costume Institute,1995,Evening dress,Evening dress,French,NA,NA,NA,NA,Designer,NA,Emanuel Ungaro,"French, born 1933",NA,Ungaro Emanuel,French,1933,2033,NA,ca. 1985,1980,1990,silk,NA,"Gift of Anne H. Bass, 1995",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17077,24034,FALSE,Arms and Armor,1936,Helmet,Helmet,Japanese,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1615–1868,1590,1900,Iron,H. 13 in. (33 cm); W. 10 5/8 in. (27 cm); D. 9 1/4 in. (23.5 cm); Wt. 3 lb. 12.4 oz. (1712 g),c,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Helmets,NA
81765,670405,TRUE,Greek and Roman Art,2011,Kylix fragment,Terracotta fragment of a kylix (drinking cup),"Greek, Attic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,490–480 B.C.,-500,-450,Terracotta,NA,"Gift of Dietrich von Bothmer, Distinguished Research Curator, Greek and Roman Art, 2011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Vases,NA
