Object.ID,Is.Public.Domain,Department,AccessionYear,Object.Name,Title,Culture,Period,Artist.Prefix,Artist.Display.Name,Artist.Display.Bio,Artist.Suffix,Artist.Alpha.Sort,Artist.Nationality,Artist.Begin.Date,Artist.End.Date,Artist.Gender,Object.Date,Object.Begin.Date,Object.End.Date,Medium,Dimensions,Country,Region,Credit.Line,Rights.and.Reproduction
754064,FALSE,Drawings and Prints,1954,Print,Mediterranean Port,NA,NA,NA,Vera Andrus,"American, 1895–1979",NA,"Andrus, Vera",NA,1895,1979,Female,1954,1954,1954,Lithograph,"Sheet: 14 1/8 × 19 1/2 in. (35.9 × 49.5 cm)
Image: 11 7/8 × 15 3/4 in. (30.2 × 40 cm)",NA,NA,"Gift of Vera Andrus, 1954",NA
358882,FALSE,Drawings and Prints,1981,Book,Ipparco Re,NA,NA,Written by,Dino Lo Curto,"Italian, 20th century",NA,"Lo, Curto Dino",Italian,1900,2000,NA,1924,1924,1924,NA,NA,NA,NA,"Gift of Madame Lilliana Teruzzi, 1981",NA
116094,FALSE,Costume Institute,1969,Mittens,Mittens,American,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1950–69,1950,1969,"leather, fur",NA,NA,NA,"Gift of Mr. and Mrs. Burton Tremaine, 1969",NA
11878,TRUE,The American Wing,1974,Drawing,"Entrance to a Coal Mine in the Valley of Wyoming, Pennsylvania (Entrance to a Coal Mine, Susquehanna)",American,NA,NA,Thomas Addison Richards,1820–1900,NA,"Richards, Thomas Addison",NA,1820,1900,NA,1852,1852,1852,Graphite and white chalk on brown wove paper,5 1/2 x 8 7/16 in. (14 x 21.4 cm),NA,NA,"Morris K. Jesup Fund, 1974",NA
363068,FALSE,Drawings and Prints,1994,Book,Derriere Le Miroir; 10 Ans d'Edition 1946-1956,NA,NA,Published by,Georges Braque|Joan Miró|Henri Matisse|Marc Chagall|Alberto Giacometti|Pierre Tal-Coat|Raoul Ubac|Pablo Palazuelo|Maeght Editeur,"French, Argenteuil 1882–1963 Paris|Spanish, Barcelona 1893–1983 Palma de Mallorca|French, Le Cateau-Cambrésis 1869–1954 Nice|French, Vitebsk 1887–1985 Saint-Paul-de-Vence|Swiss, Borgonovo 1901–1966 Chur|French, Clohars-Carnoët 1905–1985 Saint-Piere de Bailleul|Belgian, Malmèdy 1910–1985 Dieudonné|Spanish, born Madrid, 1916",", Paris","Braque, Georges|Miró, Joan|Matisse, Henri|Chagall, Marc|Giacometti, Alberto|Tal-Coat, Pierre|Ubac, Raoul|Palazuelo, Pablo|Maeght Editeur",French|Spanish|French|French|Swiss|French|Belgian|Spanish|French,1882      |1893      |1869      |1887      |1901      |1905      |1910      |1916,1963      |1983      |1954      |1985      |1966      |1985      |1985      |2016,||||||||,1956,1956,1956,NA,Overall: 14 15/16 x 11 x 3/8 in. (38 x 28 x 1 cm),NA,NA,"Gift of Gary G. Gura, 1994","© 2020 Artists Rights Society (ARS), New York"
201383,TRUE,European Sculpture and Decorative Arts,1951,Cup,Cup (part of a service),"French, Sèvres",NA,Gilded by,Sèvres Manufactory|Jean-Louis Moyez,"French, 1740–present|French, active 1818–48",NA,Sèvres Manufactory|Moyez Jean-Louis,French,1740      |1818,9999      |1848,|,1845,1845,1845,Hard-paste porcelain,2 7/8 × 3 11/16 in. (7.3 × 9.4 cm),NA,NA,"Gift of Miss Sylvia Such, 1951",NA
372661,TRUE,Drawings and Prints,1883,Print,Vauxhall Bridge,NA,NA,NA,James McNeill Whistler,"American, Lowell, Massachusetts 1834–1903 London",NA,"Whistler, James McNeill",American,1834,1903,NA,1861,1861,1861,"Etching and drypoint, printed in black ink on fine buff fibrous laid Japan; second state of two (Glasgow)","Plate: 2 11/16 × 4 1/2 in. (6.9 × 11.4 cm)
Sheet: 8 3/4 x 10 7/16 in. (22.2 x 26.5 cm)",NA,NA,"Gift of William Loring Andrews, 1883, transferred from the Library",NA
649440,FALSE,Drawings and Prints,1962,Print Ornament & Architecture,Ornamental vignettes,NA,NA,NA,D. P. Pariset|François Vivares,"French, born Lyon, 1740, active until 1783|French, Saint-Jean-du-Bruel 1709–1780 London",NA,"Pariset, D. P.|Vivares, Francois",French|French,1740      |1709,1783      |1780,|,after 1769,1769,1780,Engraving,NA,NA,NA,"Rogers Fund, 1962",NA
696579,TRUE,Medieval Art,1928,Fragment,Fragment,European or Middle Eastern,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 1150–ca. 1250,1125,1275,"Glass, ceramic",L. 1 in. (2.5 cm),NA,NA,"Gift of Clarence H. Mackay, Archer M. Huntington, Stephen H. P. Pell and Bashford Dean, 1928",NA
573329,FALSE,Egyptian Art,1914,"Jar sealing, Perneb","Jar sealing, Perneb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ca. 2381–2323 B.C.,-2381,-2381,Clay,NA,Egypt,Memphite Region,"Gift of Edward S. Harkness, 1914",NA
